ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1796088	7.80e-01	6.71e-01	-4.24e-01	-6.88004	-9.02e-03	209413746	ACTL7B	actin like 7B
ILMN_1764225	7.80e-01	6.71e-01	-4.24e-01	-6.880041	-1.86e-03	4503886	GAGE6	G antigen 6
ILMN_3309499	7.80e-01	6.72e-01	-4.24e-01	-6.880093	-1.41e-03	269847481	MIR1284	microRNA 1284
ILMN_3247906	7.80e-01	6.72e-01	4.24e-01	-6.880144	2.12e-02	40807455	RNF114	ring finger protein 114
ILMN_1726554	7.80e-01	6.72e-01	4.24e-01	-6.880181	3.34e-02	1004170650	IREB2	iron responsive element binding protein 2
ILMN_3242679	7.80e-01	6.72e-01	-4.24e-01	-6.880182	-1.87e-03	NA		
ILMN_3262849	7.80e-01	6.72e-01	-4.24e-01	-6.880198	-3.13e-02	NA		
ILMN_1708747	7.80e-01	6.72e-01	4.24e-01	-6.880213	1.39e-03	53828707	OR6C4	olfactory receptor family 6 subfamily C member 4
ILMN_3270637	7.80e-01	6.72e-01	4.24e-01	-6.880219	2.99e-03	NA		
ILMN_3234920	7.80e-01	6.72e-01	-4.24e-01	-6.880274	-3.27e-02	NA		
ILMN_1808325	7.80e-01	6.72e-01	-4.24e-01	-6.880302	-6.31e-03	NA		
ILMN_3233010	7.80e-01	6.72e-01	-4.23e-01	-6.880408	-1.83e-03	308081990	ZFAS1	ZNFX1 antisense RNA 1
ILMN_1728009	7.80e-01	6.72e-01	-4.23e-01	-6.880416	-8.08e-04	574957043	TMEM171	transmembrane protein 171
ILMN_2360784	7.80e-01	6.72e-01	4.23e-01	-6.880436	2.45e-02	110611217	RRBP1	ribosome binding protein 1
ILMN_1673885	7.80e-01	6.72e-01	-4.23e-01	-6.88045	-8.76e-03	NA		
ILMN_1729842	7.80e-01	6.72e-01	-4.23e-01	-6.88046	-5.78e-04	283046747	C11orf42	chromosome 11 open reading frame 42
ILMN_1695858	7.80e-01	6.72e-01	-4.23e-01	-6.880504	-2.86e-03	NA		
ILMN_1847047	7.80e-01	6.72e-01	4.23e-01	-6.880526	2.25e-02	27834260	TMEM176B	transmembrane protein 176B
ILMN_2334350	7.80e-01	6.72e-01	-4.23e-01	-6.880537	-2.34e-02	543173114	BTBD3	BTB domain containing 3
ILMN_1887928	7.80e-01	6.72e-01	4.23e-01	-6.880549	1.30e-02	21984436		
ILMN_1784083	7.80e-01	6.73e-01	4.23e-01	-6.880627	3.30e-03	734703847	IGDCC4	immunoglobulin superfamily DCC subclass member 4
ILMN_1742620	7.80e-01	6.73e-01	-4.23e-01	-6.880627	-3.28e-04	221307484	LGSN	lengsin, lens protein with glutamine synthetase domain
ILMN_1667750	7.80e-01	6.73e-01	-4.23e-01	-6.880655	-8.00e-03	125987594	SLC4A5	solute carrier family 4 member 5
ILMN_1826285	7.80e-01	6.73e-01	-4.23e-01	-6.880661	-1.57e-02	20487477	TRAPPC9	trafficking protein particle complex 9
ILMN_3240291	7.80e-01	6.73e-01	4.23e-01	-6.880687	2.05e-03	148225708	BRDTP1	bromodomain testis associated pseudogene 1
ILMN_2395652	7.80e-01	6.73e-01	-4.23e-01	-6.880689	-1.10e-02	88758604	PTGFR	prostaglandin F receptor
ILMN_1802192	7.80e-01	6.73e-01	-4.23e-01	-6.880692	-7.55e-04	122056579	C10orf99	chromosome 10 open reading frame 99
ILMN_2329667	7.80e-01	6.73e-01	-4.23e-01	-6.88071	-5.55e-03	122937511	MYO7B	myosin VIIB
ILMN_1752199	7.80e-01	6.73e-01	-4.23e-01	-6.880734	-2.73e-02	269847097	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
ILMN_1808149	7.80e-01	6.73e-01	-4.23e-01	-6.880736	-2.74e-03	NA		
ILMN_1895745	7.80e-01	6.73e-01	-4.23e-01	-6.880761	-1.40e-03	51491268	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A
ILMN_3175662	7.80e-01	6.73e-01	-4.22e-01	-6.880778	-4.42e-03	NA		
ILMN_1712773	7.80e-01	6.73e-01	-4.22e-01	-6.880813	-1.14e-02	325652011	SPAG1	sperm associated antigen 1
ILMN_2246105	7.81e-01	6.73e-01	-4.22e-01	-6.880881	-9.80e-03	149944683	TCAIM	T-cell activation inhibitor, mitochondrial
ILMN_1773735	7.81e-01	6.73e-01	-4.22e-01	-6.880889	-1.07e-02	254553402	FLJ44635	TPT1-like protein
ILMN_3252665	7.81e-01	6.73e-01	-4.22e-01	-6.880906	-3.12e-03	NA		
ILMN_1653055	7.81e-01	6.73e-01	4.22e-01	-6.880916	2.01e-03	30061555	SOX3	SRY-box 3
ILMN_1777541	7.81e-01	6.73e-01	-4.22e-01	-6.880948	-7.44e-03	61744422	KLK6	kallikrein related peptidase 6
ILMN_1718268	7.81e-01	6.73e-01	4.22e-01	-6.880962	8.91e-03	281182648	GJB4	gap junction protein beta 4
ILMN_3199450	7.81e-01	6.73e-01	-4.22e-01	-6.880989	-1.24e-03	NA		
ILMN_1683046	7.81e-01	6.73e-01	-4.22e-01	-6.880989	-4.61e-03	52353279	OR6Y1	olfactory receptor family 6 subfamily Y member 1
ILMN_2041463	7.81e-01	6.73e-01	-4.22e-01	-6.88102	-1.05e-02	282847423	C3orf30	chromosome 3 open reading frame 30
ILMN_3290248	7.81e-01	6.73e-01	-4.22e-01	-6.881045	-2.52e-03	NA		
ILMN_3248202	7.81e-01	6.73e-01	-4.22e-01	-6.881047	-2.56e-03	260166653	PEG3-AS1	PEG3 antisense RNA 1
ILMN_1847159	7.81e-01	6.73e-01	-4.22e-01	-6.881058	-1.89e-02	11590645		
ILMN_3238067	7.81e-01	6.73e-01	-4.22e-01	-6.881062	-7.30e-04	NA		
ILMN_2256953	7.81e-01	6.73e-01	-4.22e-01	-6.881088	-2.55e-03	395627668	CASZ1	castor zinc finger 1
ILMN_1800430	7.81e-01	6.73e-01	-4.22e-01	-6.881128	-1.27e-03	338753403	BRF1	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit
ILMN_3249807	7.81e-01	6.73e-01	-4.22e-01	-6.881152	-3.69e-02	154689645	SKA2	spindle and kinetochore associated complex subunit 2
ILMN_2038778	7.81e-01	6.73e-01	-4.22e-01	-6.881155	-1.80e-02	576583510	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
ILMN_1676997	7.81e-01	6.74e-01	-4.21e-01	-6.881218	-7.97e-03	574957119	TREX1	three prime repair exonuclease 1
ILMN_3285532	7.81e-01	6.74e-01	4.21e-01	-6.881245	5.87e-03	NA		
ILMN_1702780	7.81e-01	6.74e-01	-4.21e-01	-6.881279	-1.02e-03	NA		
ILMN_1897296	7.81e-01	6.74e-01	4.21e-01	-6.881308	4.52e-03	8168306		
ILMN_2129234	7.81e-01	6.74e-01	-4.21e-01	-6.881324	-4.26e-03	169234733	TMEM47	transmembrane protein 47
ILMN_3249167	7.81e-01	6.74e-01	4.21e-01	-6.88134	1.82e-02	77993357	SNORA63	small nucleolar RNA, H/ACA box 63
ILMN_1776706	7.81e-01	6.74e-01	-4.21e-01	-6.881348	-3.22e-03	183979981	CCR2	C-C motif chemokine receptor 2
ILMN_1906678	7.81e-01	6.74e-01	-4.21e-01	-6.881417	-1.16e-02	27880993		
ILMN_1715984	7.81e-01	6.74e-01	-4.21e-01	-6.881423	-1.26e-03	116734675	GREB1	growth regulation by estrogen in breast cancer 1
ILMN_1763883	7.81e-01	6.74e-01	-4.21e-01	-6.881459	-5.98e-03	133507126	KRTAP19-3	keratin associated protein 19-3
ILMN_3185707	7.81e-01	6.74e-01	-4.21e-01	-6.881463	-3.79e-03	571330735	MROH1	maestro heat like repeat family member 1
ILMN_3259761	7.81e-01	6.74e-01	4.21e-01	-6.881529	3.69e-03	NA		
ILMN_3267559	7.81e-01	6.74e-01	-4.20e-01	-6.88161	-5.24e-04	NA		
ILMN_1772951	7.81e-01	6.74e-01	-4.20e-01	-6.881611	-4.25e-03	574270418	ST6GALNAC1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
ILMN_1877455	7.81e-01	6.74e-01	4.20e-01	-6.881632	1.29e-02	6833935		
ILMN_1721628	7.81e-01	6.74e-01	-4.20e-01	-6.881636	-8.28e-04	153251244	C19orf73	chromosome 19 open reading frame 73
ILMN_1682783	7.82e-01	6.74e-01	-4.20e-01	-6.881693	-1.57e-02	583828560	TUG1	taurine up-regulated 1 (non-protein coding)
ILMN_1726387	7.82e-01	6.75e-01	4.20e-01	-6.881776	2.01e-02	270132520	NF1	neurofibromin 1
ILMN_2342250	7.82e-01	6.75e-01	-4.20e-01	-6.88179	-2.61e-03	268607603	ZXDA	zinc finger, X-linked, duplicated A
ILMN_3188638	7.82e-01	6.75e-01	-4.20e-01	-6.881807	-9.22e-04	NA		
ILMN_1748675	7.82e-01	6.75e-01	4.20e-01	-6.881872	1.30e-02	187761336	TMPRSS11B	transmembrane protease, serine 11B
ILMN_3241026	7.82e-01	6.75e-01	-4.20e-01	-6.881925	-2.40e-03	222418608	DEFB109P1	defensin beta 109 pseudogene 1
ILMN_3248278	7.82e-01	6.75e-01	-4.20e-01	-6.881935	-1.31e-03	NA		
ILMN_2361768	7.82e-01	6.75e-01	-4.20e-01	-6.88195	-5.55e-04	189571658	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit
ILMN_1759915	7.82e-01	6.75e-01	4.20e-01	-6.882005	1.96e-02	300360513	ARPC1A	actin related protein 2/3 complex subunit 1A
ILMN_1803384	7.82e-01	6.75e-01	-4.20e-01	-6.88201	-6.62e-03	261245049	ALX4	ALX homeobox 4
ILMN_3310800	7.82e-01	6.75e-01	-4.19e-01	-6.882067	-7.26e-04	262206193	MIR367	microRNA 367
ILMN_3241140	7.82e-01	6.75e-01	-4.19e-01	-6.882095	-1.02e-02	91680823	SNORA14B	small nucleolar RNA, H/ACA box 14B
ILMN_2373010	7.82e-01	6.75e-01	4.19e-01	-6.882138	1.47e-02	289191373	TMEM70	transmembrane protein 70
ILMN_3231952	7.82e-01	6.75e-01	4.19e-01	-6.88218	4.14e-02	157041216	ARL17B	ADP ribosylation factor like GTPase 17B
ILMN_1665806	7.82e-01	6.75e-01	-4.19e-01	-6.882184	-8.32e-03	52317179	OR13C2	olfactory receptor family 13 subfamily C member 2
ILMN_1776250	7.82e-01	6.75e-01	4.19e-01	-6.882184	4.44e-03	NA		
ILMN_1713174	7.82e-01	6.75e-01	4.19e-01	-6.8822	2.57e-02	224493894	TCP11L1	t-complex 11 like 1
ILMN_1654626	7.82e-01	6.75e-01	-4.19e-01	-6.882261	-2.84e-03	NA		
ILMN_2173500	7.82e-01	6.75e-01	-4.19e-01	-6.882289	-7.09e-03	195546914	FAM69C	family with sequence similarity 69 member C
ILMN_3227031	7.82e-01	6.75e-01	-4.19e-01	-6.8823	-3.02e-03	NA		
ILMN_1735813	7.82e-01	6.75e-01	-4.19e-01	-6.882322	-7.30e-03	NA		
ILMN_3240470	7.82e-01	6.75e-01	-4.19e-01	-6.882332	-3.96e-03	288557240	CSRNP3	cysteine and serine rich nuclear protein 3
ILMN_3239307	7.82e-01	6.76e-01	-4.19e-01	-6.882347	-1.45e-03	NA		
ILMN_3301872	7.83e-01	6.76e-01	-4.19e-01	-6.88241	-4.54e-03	NA		
ILMN_3230631	7.83e-01	6.76e-01	-4.19e-01	-6.882417	-4.70e-03	219521889	LINC00161	long intergenic non-protein coding RNA 161
ILMN_3270859	7.83e-01	6.76e-01	-4.19e-01	-6.88243	-1.21e-03	NA		
ILMN_2207726	7.83e-01	6.76e-01	4.18e-01	-6.882476	7.64e-03	283046690	FAM46D	family with sequence similarity 46 member D
ILMN_1893075	7.83e-01	6.76e-01	-4.18e-01	-6.882494	-8.78e-03	6700495		
ILMN_3240875	7.83e-01	6.76e-01	-4.18e-01	-6.882496	-1.57e-03	NA		
ILMN_1740627	7.83e-01	6.76e-01	-4.18e-01	-6.882534	-1.06e-02	73695941	TIAM2	T-cell lymphoma invasion and metastasis 2
ILMN_1651490	7.83e-01	6.76e-01	-4.18e-01	-6.882534	-2.84e-03	189339189	CYP26A1	cytochrome P450 family 26 subfamily A member 1
ILMN_1737635	7.83e-01	6.76e-01	4.18e-01	-6.88259	2.67e-02	NA		
ILMN_1769473	7.83e-01	6.76e-01	-4.18e-01	-6.882613	-1.78e-02	197313747	SETD2	SET domain containing 2
ILMN_2305407	7.83e-01	6.76e-01	-4.18e-01	-6.882618	-5.83e-02	66932930	ZBTB16	zinc finger and BTB domain containing 16
ILMN_1699323	7.83e-01	6.76e-01	-4.18e-01	-6.882637	-2.51e-02	NA		
ILMN_1752393	7.83e-01	6.76e-01	-4.18e-01	-6.882642	-1.49e-02	363543334	ATOH7	atonal bHLH transcription factor 7
ILMN_1699790	7.83e-01	6.76e-01	-4.18e-01	-6.88267	-4.64e-03	NA		
ILMN_1811006	7.83e-01	6.76e-01	-4.18e-01	-6.882671	-8.38e-04	373838709	E2F8	E2F transcription factor 8
ILMN_1715695	7.83e-01	6.76e-01	4.18e-01	-6.882678	6.02e-04	112382245	S100G	S100 calcium binding protein G
ILMN_3307180	7.83e-01	6.76e-01	-4.18e-01	-6.882682	-1.61e-03	224586791	FLJ26850	FLJ26850 protein
ILMN_1797451	7.83e-01	6.76e-01	-4.18e-01	-6.882721	-8.67e-04	665821320	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2
ILMN_3285302	7.83e-01	6.76e-01	-4.18e-01	-6.88274	-4.80e-04	300796183	LINC00900	long intergenic non-protein coding RNA 900
ILMN_3308265	7.83e-01	6.76e-01	-4.18e-01	-6.882784	-9.31e-03	262206185	MIR302C	microRNA 302c
ILMN_1784905	7.83e-01	6.76e-01	-4.18e-01	-6.882789	-7.60e-03	NA		
ILMN_1711060	7.83e-01	6.76e-01	-4.18e-01	-6.882844	-1.17e-03	NA		
ILMN_1813881	7.83e-01	6.76e-01	-4.17e-01	-6.88285	-2.15e-03	752507735	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1
ILMN_3201419	7.83e-01	6.76e-01	4.17e-01	-6.882878	2.05e-03	NA		
ILMN_1822180	7.83e-01	6.76e-01	-4.17e-01	-6.882891	-2.60e-02	6462741		
ILMN_2252495	7.83e-01	6.77e-01	-4.17e-01	-6.882911	-7.54e-04	332078506	UBE2L6	ubiquitin conjugating enzyme E2 L6
ILMN_1775529	7.83e-01	6.77e-01	-4.17e-01	-6.882921	-1.19e-02	21618356	KLK11	kallikrein related peptidase 11
ILMN_3244051	7.83e-01	6.77e-01	-4.17e-01	-6.883014	-1.95e-03	NA		
ILMN_2285112	7.83e-01	6.77e-01	-4.17e-01	-6.883044	-1.60e-02	298231103	FBXO11	F-box protein 11
ILMN_1684045	7.83e-01	6.77e-01	4.17e-01	-6.883071	2.95e-02	198278564	CDCA4	cell division cycle associated 4
ILMN_1709860	7.83e-01	6.77e-01	-4.17e-01	-6.88311	-3.69e-03	89179320	UNC45A	unc-45 myosin chaperone A
ILMN_1701806	7.83e-01	6.77e-01	-4.17e-01	-6.883166	-3.05e-03	NA		
ILMN_2084073	7.83e-01	6.77e-01	-4.17e-01	-6.883201	-2.46e-02	998074860	UCN	urocortin
ILMN_1656882	7.83e-01	6.77e-01	-4.17e-01	-6.883206	-7.43e-03	NA		
ILMN_1804470	7.84e-01	6.77e-01	4.16e-01	-6.883266	2.86e-03	NA		
ILMN_1779832	7.84e-01	6.77e-01	-4.16e-01	-6.883284	-4.75e-03	NA		
ILMN_3199994	7.84e-01	6.77e-01	-4.16e-01	-6.88331	-1.09e-03	NA		
ILMN_1693340	7.84e-01	6.77e-01	-4.16e-01	-6.883342	-2.71e-03	38683861	RAC3	ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)
ILMN_3236476	7.84e-01	6.77e-01	4.16e-01	-6.883354	5.42e-03	NA		
ILMN_1767620	7.84e-01	6.77e-01	-4.16e-01	-6.883358	-6.83e-03	NA		
ILMN_1682312	7.84e-01	6.77e-01	4.16e-01	-6.883369	2.96e-02	163854302	CYBB	cytochrome b-245 beta chain
ILMN_1805932	7.84e-01	6.77e-01	-4.16e-01	-6.883375	-1.68e-02	256600246	C6orf163	chromosome 6 open reading frame 163
ILMN_3284845	7.84e-01	6.77e-01	-4.16e-01	-6.883376	-1.32e-03	NA		
ILMN_2184869	7.84e-01	6.77e-01	4.16e-01	-6.883452	1.67e-03	115511045	ZMYM6	zinc finger MYM-type containing 6
ILMN_3269572	7.84e-01	6.77e-01	-4.16e-01	-6.883466	-3.84e-03	NA		
ILMN_2174341	7.84e-01	6.78e-01	-4.16e-01	-6.883503	-1.75e-03	223633970	GPR83	G protein-coupled receptor 83
ILMN_3225066	7.84e-01	6.78e-01	-4.16e-01	-6.883506	-8.86e-04	NA		
ILMN_1696591	7.84e-01	6.78e-01	-4.16e-01	-6.883525	-3.06e-02	108773786	RB1	RB transcriptional corepressor 1
ILMN_1759012	7.84e-01	6.78e-01	-4.16e-01	-6.883543	-1.95e-02	335057522	PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B
ILMN_2157806	7.84e-01	6.78e-01	-4.16e-01	-6.883558	-7.86e-03	52353291	OR8H2	olfactory receptor family 8 subfamily H member 2
ILMN_1913021	7.84e-01	6.78e-01	4.16e-01	-6.88358	1.70e-02	15937628		
ILMN_2328972	7.84e-01	6.78e-01	-4.16e-01	-6.88361	-4.30e-03	28559059	DNMT3B	DNA methyltransferase 3 beta
ILMN_3268911	7.84e-01	6.78e-01	-4.16e-01	-6.883657	-3.11e-03	NA		
ILMN_1724315	7.84e-01	6.78e-01	-4.15e-01	-6.883738	-2.35e-02	260593715	LMTK2	lemur tyrosine kinase 2
ILMN_1875332	7.84e-01	6.78e-01	-4.15e-01	-6.883745	-6.88e-03	NA		
ILMN_1851376	7.84e-01	6.78e-01	4.15e-01	-6.883765	1.51e-02	27879546		
ILMN_1726011	7.84e-01	6.78e-01	-4.15e-01	-6.883806	-4.51e-03	NA		
ILMN_2075643	7.84e-01	6.78e-01	-4.15e-01	-6.883837	-2.57e-03	815891058	ANKRD29	ankyrin repeat domain 29
ILMN_1737563	7.84e-01	6.78e-01	-4.15e-01	-6.883837	-3.06e-03	205277455	RS1	retinoschisin 1
ILMN_1762185	7.84e-01	6.78e-01	-4.15e-01	-6.8839	-2.80e-03	NA		
ILMN_1741491	7.84e-01	6.78e-01	4.15e-01	-6.883934	1.79e-02	37594439	ZNHIT1	zinc finger HIT-type containing 1
ILMN_2347097	7.84e-01	6.78e-01	-4.15e-01	-6.883955	-1.64e-03	459212748	KLK15	kallikrein related peptidase 15
ILMN_3184980	7.84e-01	6.78e-01	-4.15e-01	-6.883975	-5.70e-04	NA		
ILMN_1667125	7.84e-01	6.78e-01	4.15e-01	-6.883985	1.47e-02	332801046	RPS6KL1	ribosomal protein S6 kinase like 1
ILMN_2345353	7.85e-01	6.79e-01	-4.15e-01	-6.884049	-2.39e-02	262118329	LST1	leukocyte specific transcript 1
ILMN_1710329	7.85e-01	6.79e-01	-4.15e-01	-6.884071	-1.28e-02	667751592	MYEF2	myelin expression factor 2
ILMN_1663149	7.85e-01	6.79e-01	-4.14e-01	-6.884115	-2.31e-02	NA		
ILMN_3247334	7.85e-01	6.79e-01	4.14e-01	-6.884128	3.96e-03	1001184364	SMCO1	single-pass membrane protein with coiled-coil domains 1
ILMN_1741079	7.85e-01	6.79e-01	-4.14e-01	-6.884132	-3.56e-03	NA		
ILMN_1667893	7.85e-01	6.79e-01	-4.14e-01	-6.884146	-3.34e-02	315013560	TNS3	tensin 3
ILMN_2381603	7.85e-01	6.79e-01	4.14e-01	-6.884171	3.14e-02	38201658	ING3	inhibitor of growth family member 3
ILMN_1680360	7.85e-01	6.79e-01	-4.14e-01	-6.884189	-3.50e-03	NA		
ILMN_1775171	7.85e-01	6.79e-01	4.14e-01	-6.884202	9.73e-03	75812910	WIPF2	WAS/WASL interacting protein family member 2
ILMN_2203753	7.85e-01	6.79e-01	4.14e-01	-6.884212	9.65e-03	63025197	VENTXP7	VENT homeobox pseudogene 7
ILMN_1790459	7.85e-01	6.79e-01	-4.14e-01	-6.884214	-1.44e-02	NA		
ILMN_3231108	7.85e-01	6.79e-01	-4.14e-01	-6.884225	-1.81e-03	NA		
ILMN_1741521	7.85e-01	6.79e-01	4.14e-01	-6.884286	1.37e-02	NA		
ILMN_1848893	7.85e-01	6.79e-01	-4.14e-01	-6.884305	-1.52e-02	19048181		
ILMN_1754541	7.85e-01	6.79e-01	4.14e-01	-6.884476	5.18e-03	297206742	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog
ILMN_1656015	7.85e-01	6.79e-01	-4.13e-01	-6.884506	-5.08e-03	NA		
ILMN_1791923	7.85e-01	6.79e-01	-4.13e-01	-6.884507	-1.89e-03	122937306	ACSM4	acyl-CoA synthetase medium-chain family member 4
ILMN_1722227	7.85e-01	6.79e-01	-4.13e-01	-6.884525	-5.05e-03	239582752	MRGPRX4	MAS related GPR family member X4
ILMN_1755318	7.85e-01	6.79e-01	-4.13e-01	-6.884542	-1.05e-03	15718715	HIST1H2AJ	histone cluster 1, H2aj
ILMN_1724059	7.85e-01	6.79e-01	4.13e-01	-6.884557	1.17e-02	523525263	GAS2L1	growth arrest specific 2 like 1
ILMN_3182877	7.85e-01	6.79e-01	4.13e-01	-6.884587	4.32e-03	NA		
ILMN_1910645	7.85e-01	6.80e-01	4.13e-01	-6.884606	2.08e-02	NA		
ILMN_3294146	7.85e-01	6.80e-01	4.13e-01	-6.884608	2.98e-03	NA		
ILMN_2065273	7.85e-01	6.80e-01	-4.13e-01	-6.884679	-2.68e-03	291621693	NPY6R	neuropeptide Y receptor Y6 (pseudogene)
ILMN_1790218	7.85e-01	6.80e-01	4.13e-01	-6.884695	1.05e-02	770478871	TXNL4A	thioredoxin like 4A
ILMN_3308220	7.85e-01	6.80e-01	-4.13e-01	-6.884705	-1.42e-03	269847164	MIR1293	microRNA 1293
ILMN_2111556	7.85e-01	6.80e-01	-4.13e-01	-6.88471	-7.78e-04	170014694	ATXN8OS	ATXN8 opposite strand (non-protein coding)
ILMN_1756408	7.85e-01	6.80e-01	-4.13e-01	-6.88478	-4.97e-03	315583336	PARVA	parvin alpha
ILMN_1800611	7.86e-01	6.80e-01	4.13e-01	-6.884806	2.61e-02	109148536	CEP72	centrosomal protein 72
ILMN_3309804	7.86e-01	6.80e-01	-4.13e-01	-6.884844	-5.97e-04	262205348	MIR424	microRNA 424
ILMN_1686928	7.86e-01	6.80e-01	-4.13e-01	-6.884852	-2.00e-03	270265870	FREM3	FRAS1 related extracellular matrix 3
ILMN_1654422	7.86e-01	6.80e-01	4.13e-01	-6.884881	3.45e-03	507588246	ACTN2	actinin alpha 2
ILMN_1693683	7.86e-01	6.80e-01	-4.12e-01	-6.884927	-6.74e-03	315467839	PDAP1	PDGFA associated protein 1
ILMN_3256017	7.86e-01	6.80e-01	-4.12e-01	-6.884938	-1.73e-03	NA		
ILMN_2186715	7.86e-01	6.80e-01	-4.12e-01	-6.884984	-6.05e-03	21264590	CENPH	centromere protein H
ILMN_3262761	7.86e-01	6.80e-01	-4.12e-01	-6.884989	-1.47e-03	NA		
ILMN_3272826	7.86e-01	6.80e-01	-4.12e-01	-6.885003	-6.19e-03	302393543	LOC100128361	uncharacterized LOC100128361
ILMN_1671642	7.86e-01	6.80e-01	-4.12e-01	-6.885003	-7.05e-03	269846833	CSNK1A1L	casein kinase 1 alpha 1 like
ILMN_3248171	7.86e-01	6.80e-01	-4.12e-01	-6.885082	-4.60e-04	NA		
ILMN_3232303	7.86e-01	6.80e-01	-4.12e-01	-6.885085	-1.34e-03	NA		
ILMN_2082109	7.86e-01	6.80e-01	-4.12e-01	-6.88509	-3.98e-03	156546991	ZNF214	zinc finger protein 214
ILMN_1913655	7.86e-01	6.80e-01	-4.12e-01	-6.885098	-7.38e-03	13715536	C1orf68	chromosome 1 open reading frame 68
ILMN_1663559	7.86e-01	6.81e-01	-4.12e-01	-6.885151	-1.18e-02	NA		
ILMN_3308048	7.86e-01	6.81e-01	4.12e-01	-6.885171	4.69e-03	262205232	MIR193B	microRNA 193b
ILMN_1675398	7.86e-01	6.81e-01	4.12e-01	-6.885186	6.71e-03	346644808	ALDH1B1	aldehyde dehydrogenase 1 family member B1
ILMN_3183573	7.86e-01	6.81e-01	-4.12e-01	-6.88519	-2.53e-03	NA		
ILMN_1870021	7.86e-01	6.81e-01	-4.12e-01	-6.885191	-8.29e-03	13727750		
ILMN_2188822	7.86e-01	6.81e-01	4.12e-01	-6.885192	1.46e-03	NA		
ILMN_3223826	7.86e-01	6.81e-01	4.12e-01	-6.88524	7.89e-03	NA		
ILMN_2219351	7.86e-01	6.81e-01	-4.12e-01	-6.885272	-2.24e-03	1015139377	CENPO	centromere protein O
ILMN_1655479	7.86e-01	6.81e-01	-4.12e-01	-6.885276	-7.49e-03	NA		
ILMN_2389984	7.86e-01	6.81e-01	-4.11e-01	-6.885369	-8.75e-04	260099632	RGS9	regulator of G-protein signaling 9
ILMN_2342121	7.86e-01	6.81e-01	4.11e-01	-6.885375	2.51e-02	157502194	PSMD13	proteasome 26S subunit, non-ATPase 13
ILMN_1670343	7.86e-01	6.81e-01	-4.11e-01	-6.885377	-5.63e-03	74272281	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1
ILMN_1657423	7.86e-01	6.81e-01	4.11e-01	-6.885459	2.53e-02	674779863	SPG21	spastic paraplegia 21 (autosomal recessive, Mast syndrome)
ILMN_1901341	7.86e-01	6.81e-01	-4.11e-01	-6.885476	-4.86e-03	83074961		
ILMN_2140895	7.86e-01	6.81e-01	4.11e-01	-6.88548	2.30e-03	46395477	OR6W1P	olfactory receptor family 6 subfamily W member 1 pseudogene
ILMN_1690843	7.86e-01	6.81e-01	4.11e-01	-6.885508	5.21e-03	222537753	TOPAZ1	testis and ovary specific PAZ domain containing 1
ILMN_3285607	7.86e-01	6.81e-01	-4.11e-01	-6.885532	-3.50e-03	NA		
ILMN_3204134	7.86e-01	6.81e-01	-4.11e-01	-6.885552	-1.40e-03	NA		
ILMN_1675018	7.86e-01	6.81e-01	-4.11e-01	-6.885574	-2.19e-03	333360861	IQCF3	IQ motif containing F3
ILMN_2208491	7.86e-01	6.81e-01	-4.11e-01	-6.885575	-3.30e-03	224586941	RPLP0P2	ribosomal protein lateral stalk subunit P0 pseudogene 2
ILMN_1685616	7.86e-01	6.81e-01	-4.11e-01	-6.885582	-1.40e-03	194097333	EFNA5	ephrin A5
ILMN_1784110	7.86e-01	6.81e-01	4.11e-01	-6.8856	1.69e-03	262527296	CDK18	cyclin dependent kinase 18
ILMN_1715463	7.86e-01	6.81e-01	4.11e-01	-6.885612	2.81e-03	100913216	SOSTDC1	sclerostin domain containing 1
ILMN_3290177	7.86e-01	6.81e-01	4.11e-01	-6.885626	3.26e-03	NA		
ILMN_1811303	7.86e-01	6.81e-01	-4.11e-01	-6.885655	-1.42e-03	451172092	NR5A2	nuclear receptor subfamily 5 group A member 2
ILMN_2140389	7.87e-01	6.81e-01	4.11e-01	-6.885677	3.07e-02	536288138	TMEM185A	transmembrane protein 185A
ILMN_3200281	7.87e-01	6.82e-01	-4.10e-01	-6.885736	-9.18e-04	NA		
ILMN_1761086	7.87e-01	6.82e-01	4.10e-01	-6.885784	2.07e-02	54234033	VPS54	VPS54, GARP complex subunit
ILMN_3255735	7.87e-01	6.82e-01	-4.10e-01	-6.885785	-8.51e-03	NA		
ILMN_1780100	7.87e-01	6.82e-01	-4.10e-01	-6.885789	-8.21e-03	NA		
